,compound,text_len
0,-0.4939,89
1,0.0,98
2,0.0,98
3,0.0,100
4,0.0,100
5,0.0,102
6,0.0,97
7,-0.2263,111
8,0.0,77
9,0.0,82
10,0.0,91
11,0.0,74
12,0.0,78
13,0.0,77
14,0.34,83
15,0.0,102
16,0.0,100
17,0.0,85
18,0.0,82
19,-0.2732,85
20,0.0,78
21,0.0,53
22,0.0,96
23,0.0,99
24,0.0,96
25,0.0,102
26,0.0,100
27,0.0,82
28,0.0,78
29,0.4215,115
30,0.128,95
31,0.0,102
32,0.0,97
33,0.0,68
34,0.0,82
35,0.0,102
36,0.0,95
37,0.0,100
38,0.0,94
39,0.0,99
40,0.0,95
41,0.7579,111
42,0.128,95
43,0.0,102
44,0.0,97
45,0.0,53
46,0.0,102
47,0.0,97
48,0.0,85
49,0.0,82
50,0.0,78
51,0.0,81
52,0.0,96
53,0.0,99
54,0.0,102
55,0.0,82
56,0.5106,97
57,0.0,100
58,0.0,78
59,0.0,98
60,0.0,102
61,0.0,95
62,-0.2732,86
63,0.0,100
64,0.0,82
65,0.2023,87
66,0.2023,87
67,0.2023,87
68,0.0,102
69,0.0,100
70,0.0,82
71,0.0,109
72,0.128,95
73,0.0,100
74,0.0,97
75,0.0,100
76,0.0,102
77,0.0,99
78,0.0,82
79,0.0,100
80,0.0,102
81,0.0,100
82,0.0,85
83,0.0,82
84,0.0,99
85,0.0,21
86,0.0,98
87,0.0,92
88,0.0,97
89,0.0,102
90,0.0,97
91,0.0,82
92,-0.2263,111
93,0.0,85
94,0.0,77
95,0.7579,111
96,0.0,117
97,0.6705,116
98,0.4215,115
99,0.0,102
100,0.0,98
101,0.0,82
102,0.7579,111
103,0.8122,103
104,0.0,102
105,0.0,91
106,0.0,82
107,0.0,100
108,0.4215,115
109,0.4215,115
110,0.4404,101
111,0.0,95
112,0.4404,101
113,0.0,94
114,0.0,97
115,0.0,97
116,0.0,82
117,0.4404,96
118,0.4767,113
119,0.0,99
120,0.0,100
121,0.0,82
122,0.0,91
123,0.0,124
124,0.7184,93
125,0.8402,99
126,0.8402,99
127,0.7184,93
128,0.7184,83
129,0.0,85
130,0.7579,111
131,0.0,94
132,0.0,93
133,0.0,97
134,0.0,82
135,0.6705,116
136,0.4588,88
137,0.0,102
138,0.0,95
139,0.0,100
140,0.0,65
141,-0.2732,103
142,0.0,85
143,0.0,82
144,0.7184,113
145,0.0,91
146,0.0,101
147,0.0,93
148,0.0,94
149,0.0,93
150,0.0,83
151,0.0,93
152,0.0,100
153,0.0,93
154,0.0,99
155,0.0,96
156,0.0,100
157,0.0,93
158,0.0,97
159,0.0,82
160,0.0,98
161,0.0,95
162,0.0,97
163,0.0,82
164,0.4215,115
165,0.0,94
166,0.7184,106
167,0.4215,115
168,0.4215,115
169,0.0,97
170,0.0,82
171,0.0,84
172,0.0,96
173,0.296,88
174,0.0,81
175,0.0,105
176,0.0,111
177,0.0,97
178,0.0,82
179,0.6705,116
180,0.4215,115
181,0.4215,115
182,0.0,102
183,-0.2732,86
184,0.0,82
185,0.0,100
186,0.4215,115
187,0.128,95
188,0.6705,116
189,0.0,99
190,0.0,95
191,0.0,99
192,0.0,98
193,0.0,102
194,0.0,100
195,-0.2263,111
196,0.0,77
197,0.0,82
198,0.0,74
199,0.3612,83
200,0.0,78
201,0.0,77
202,0.34,83
203,0.6705,116
204,0.1139,90
205,0.0,117
206,0.0,99
207,0.0,85
208,0.0,82
209,0.4215,115
210,0.0,78
211,0.0,56
212,0.0,86
213,0.0,97
214,0.0,82
215,0.0,81
216,0.0,96
217,0.0,99
218,0.0,102
219,-0.3291,89
220,0.0,52
221,0.0,97
222,0.0,82
223,0.0,97
224,0.0,102
225,0.0,95
226,0.0,82
227,0.0,97
228,0.0,76
229,0.0,96
230,0.0,98
231,0.0,102
232,0.0,97
233,0.0,82
234,0.5106,96
235,0.4215,115
236,0.0,81
237,0.0,102
238,0.0,95
239,0.0,82
240,0.0,99
241,0.0,85
242,0.0,100
243,0.6705,116
244,0.0,94
245,0.0,94
246,-0.2732,85
247,0.0,78
248,0.4215,115
249,0.0,52
250,0.0,102
251,0.0,83
252,0.0,100
253,0.0,117
254,0.0,117
255,0.4215,115
256,0.0,117
257,0.0,99
258,0.2023,98
259,0.128,114
260,0.0,85
261,0.34,87
262,0.4215,115
263,0.0,102
264,0.0,100
265,0.0,84
266,0.0,83
267,0.4215,115
268,0.2023,87
269,0.2023,87
270,0.4215,115
271,0.2023,87
272,0.2023,87
273,0.0,99
274,0.0,102
275,0.0,84
276,0.0,100
277,0.4215,115
278,0.8316,92
279,0.128,95
280,0.4215,115
281,0.0,53
282,0.0,102
283,0.0,95
284,0.0,97
285,0.0,84
286,0.6597,83
287,0.0,93
288,0.4215,115
289,0.34,87
290,0.34,87
291,0.34,87
292,0.0,102
293,0.0,84
294,0.0,98
295,-0.5574,122
296,0.0,82
297,0.0,99
298,0.0,99
299,0.0,102
300,-0.2263,111
301,0.0,77
302,0.0,97
303,0.0,99
304,0.0258,80
305,-0.2732,85
306,0.0,78
307,0.0,102
308,0.0,97
309,0.0,85
310,0.4215,115
311,0.0,78
312,0.4215,115
313,0.4215,115
314,0.0,81
315,0.4215,115
316,0.6705,116
317,0.0,99
318,0.0,81
319,0.0,102
320,-0.2732,86
321,0.0,97
322,0.0,83
323,0.4215,115
324,0.4215,115
325,-0.4767,107
326,0.128,95
327,0.0,81
328,0.0,97
329,0.0,102
330,0.0,97
331,-0.4404,117
332,-0.4404,105
333,-0.296,93
334,0.0,99
335,0.0,102
336,0.0,97
337,0.0,84
338,0.0,109
339,0.0,80
340,0.0,98
341,-0.2732,85
342,0.0,78
343,0.0,102
344,0.0,95
345,0.0,97
346,0.0,85
347,0.6705,116
348,0.0,102
349,0.0,102
350,0.6705,116
351,0.4215,115
352,0.6705,116
353,0.0,79
354,0.0,102
355,-0.2732,105
356,0.0,98
357,-0.2732,103
358,0.0,84
359,0.0,65
360,0.4215,115
361,0.4215,115
362,0.6705,116
363,0.6705,116
364,0.0,110
365,0.0,98
366,0.0,95
367,0.0,102
368,0.0,97
369,0.0,67
370,0.6705,116
371,0.4215,115
372,0.0,106
373,0.7184,114
374,0.7184,108
375,0.6705,116
376,-0.2732,85
377,0.0,78
378,0.4215,115
379,0.6705,116
380,0.6705,116
381,0.7579,111
382,0.0,98
383,0.4215,115
384,0.0,102
385,0.0,100
386,0.0,83
387,0.0,85
388,0.0,68
389,0.4215,115
390,0.0,98
391,0.7579,111
392,0.4215,115
393,-0.3291,104
394,0.128,95
395,0.4215,115
396,0.0,102
397,0.0,83
398,0.0,68
399,0.0,97
400,0.4215,115
401,0.4215,115
402,0.6705,116
403,0.6705,116
404,0.6705,116
405,0.4215,115
406,0.6705,116
407,0.4215,115
408,0.0,99
409,0.0,99
410,0.0,93
411,0.0,84
412,0.0,99
413,0.0,78
414,0.6705,116
415,0.6705,116
416,0.0,110
417,0.0,110
418,0.0,110
419,0.0,110
420,0.0,110
421,0.0,101
422,0.6705,116
423,0.128,95
424,0.0,54
425,0.0,102
426,0.0,98
427,0.0,84
428,0.0,85
429,0.4215,115
430,0.4215,115
431,0.6705,116
432,0.0,27
433,0.0,117
434,0.6705,116
435,0.0,102
436,0.0,97
437,0.0,84
438,0.4215,115
439,0.4215,115
440,0.6705,116
441,0.6705,116
442,0.6705,116
443,0.0,117
444,0.0,99
445,0.6705,116
446,0.6705,116
447,0.6705,116
448,0.4215,115
449,0.6705,116
450,0.0,93
451,0.0,98
452,0.0,99
453,0.0,98
454,0.0,99
455,0.0,102
456,0.0,100
457,0.0,84
458,-0.2263,111
459,0.0,77
460,0.0,98
461,0.0,74
462,0.0,91
463,0.128,95
464,0.4215,115
465,0.4215,115
466,0.0,78
467,0.0,77
468,0.34,82
469,0.6705,116
470,0.0,91
471,0.6705,116
472,0.34,83
473,0.6705,116
474,0.6705,116
475,0.0,109
476,0.0,102
477,0.0,97
478,0.6705,116
479,0.6705,116
480,0.0,95
481,0.6705,116
482,0.6705,116
483,0.4215,115
484,0.4215,115
485,0.0,98
486,0.0,102
487,0.0,95
488,0.0,97
489,0.6705,116
490,0.6705,116
491,0.6705,116
492,0.0,99
493,0.0,94
494,0.0,78
495,0.6705,116
496,0.6705,116
497,0.4215,115
498,0.6705,116
499,0.0,82
500,0.0,96
501,0.0,102
502,0.0,95
503,0.0,97
504,0.6705,116
505,0.4215,115
506,0.6705,116
507,0.4215,115
508,0.4215,115
509,0.6705,116
510,0.6705,116
511,0.6705,116
512,0.6705,116
513,0.0,102
514,0.0,97
515,0.0,85
516,0.0,120
517,0.4215,115
518,0.4215,115
519,0.4215,115
520,0.128,95
521,0.4215,115
522,0.0,102
523,0.0,95
524,0.0,98
525,0.6705,116
526,0.4215,115
527,0.4215,115
528,0.4215,115
529,0.4215,115
530,0.0,70
531,0.0,70
532,0.0,117
533,0.7184,111
534,0.0,102
535,0.0,97
536,0.0,99
537,0.0,100
538,0.7579,111
539,0.4215,115
540,0.34,82
541,0.3597,115
542,0.3612,110
543,0.6705,116
544,0.6705,116
545,0.3612,95
546,0.0,102
547,0.0,100
548,0.0,85
549,0.4215,115
550,0.0,81
551,0.4215,115
552,0.4215,115
553,0.0,95
554,0.0,97
555,0.4215,115
556,0.4215,115
557,0.4215,115
558,0.4215,115
559,0.4215,115
560,0.4215,115
561,0.4215,115
562,0.6705,116
563,0.4215,115
564,0.0,97
565,0.0,102
566,0.0,84
567,0.0,95
568,0.0,97
569,0.0,65
570,0.2023,87
571,0.2023,87
572,0.6705,116
573,0.0,78
574,0.4215,115
575,0.6705,116
576,0.2023,87
577,0.4215,115
578,0.4215,115
579,0.0,78
580,0.0,90
581,0.0,102
582,0.0,97
583,0.0,95
584,0.0,84
585,-0.2732,86
586,0.0,69
587,0.7579,111
588,0.4215,115
589,0.4215,115
590,0.4215,115
591,0.4215,115
592,0.4215,115
593,0.6705,116
594,0.4215,115
595,0.4215,115
596,0.4215,115
597,0.4215,115
598,0.4215,107
599,0.6705,116
600,0.0,93
601,0.0,96
602,0.0,96
603,0.0,92
604,0.0,102
605,0.0,100
606,0.0,69
607,0.0,84
608,0.6705,116
609,0.0,92
610,0.8402,97
611,0.6705,116
612,0.6705,116
613,0.6705,116
614,0.6705,116
615,0.6705,116
616,0.6705,116
617,0.6705,116
618,0.0,102
619,0.0,97
620,0.0,65
621,0.7579,111
622,0.6705,116
623,0.6705,116
624,0.6705,116
625,0.6705,116
626,0.0,95
627,0.6705,116
628,0.4019,91
629,0.0,99
630,0.0,102
631,-0.2263,111
632,0.0,77
633,0.0,100
634,0.6705,116
635,0.6705,116
636,0.6705,116
637,0.6705,116
638,0.6705,116
639,0.7579,111
640,0.0,78
641,0.6705,116
642,0.6705,116
643,0.6705,116
644,0.6705,116
645,0.6705,116
646,0.6705,116
647,0.0,102
648,0.0,84
649,0.0,67
650,0.0,97
651,0.0,84
652,0.6705,116
653,0.6705,116
654,0.0,120
655,0.6705,116
656,0.0,109
657,0.0,109
658,0.6705,116
659,0.0,78
660,0.6705,116
661,0.6705,116
662,0.0,117
663,0.0,109
664,0.6705,116
665,0.6705,116
666,0.6705,116
667,0.6705,116
668,0.6705,116
669,0.0,104
670,0.0,99
671,0.0,93
672,0.0,97
673,0.0,93
674,0.0,97
675,0.0,99
676,0.0,96
677,0.0,94
678,0.0,98
679,0.0,102
680,0.0,84
681,0.0,100
682,0.0,66
683,0.6705,116
684,0.6705,116
685,0.0,91
686,0.6705,116
687,0.6705,116
688,0.6705,116
689,0.6705,116
690,-0.5574,122
691,0.6705,116
692,0.6705,116
693,-0.4767,107
694,0.6705,116
695,0.6705,116
696,0.0,103
697,0.0,97
698,0.0,102
699,0.0,84
700,0.0,52
701,0.0,100
702,0.6705,116
703,0.6705,116
704,0.0,102
705,0.6705,116
706,0.6705,116
707,0.6705,116
708,0.0,109
709,0.0,117
710,0.6705,116
711,0.6705,116
712,0.0,102
713,0.0,84
714,0.0,97
715,0.0,85
716,0.0,117
717,0.0,99
718,0.6705,116
719,0.6705,116
720,0.0,94
721,0.0,100
722,0.6705,116
723,0.6705,116
724,0.6705,116
725,0.6705,116
726,0.0,117
727,0.6705,116
728,0.0,102
729,0.0,84
730,0.0,100
731,0.0,117
732,0.0,97
733,0.6705,116
734,0.6705,116
735,0.6705,116
736,0.6705,116
737,0.0,54
738,0.6705,116
739,0.0,112
740,0.5423,116
741,0.6705,116
742,0.6705,116
743,0.6705,116
744,0.6705,116
745,0.0,102
746,0.0,97
747,0.0,84
748,0.0,64
749,-0.2732,103
750,0.6705,116
751,0.6705,116
752,0.6705,116
753,0.6705,116
754,0.6705,116
755,0.6705,116
756,0.6705,116
757,0.6705,116
758,0.6705,116
759,0.0,86
760,0.6705,116
761,0.6705,116
762,0.296,88
763,0.0,99
764,0.6705,116
765,0.0,102
766,0.0,97
767,0.0,84
768,0.0,95
769,0.6705,116
770,0.6705,116
771,0.6705,116
772,0.6705,116
773,0.6705,116
774,0.6705,116
775,0.6705,116
776,0.6705,116
777,0.7184,116
778,0.7184,108
779,0.0,78
780,0.6705,116
781,0.6705,116
782,0.6705,116
783,0.6705,116
784,0.6705,116
785,0.6705,116
786,0.7003,112
787,0.0,109
788,0.6705,116
789,0.6705,116
790,0.6705,116
791,0.6705,116
792,0.0,102
793,-0.2732,86
794,0.0,85
795,0.0,100
796,0.6705,116
797,0.6705,116
798,0.6705,116
799,0.6705,116
800,0.6705,116
801,0.6705,116
802,0.6705,116
803,0.6705,116
804,0.6705,116
805,0.6705,116
806,0.6705,116
807,0.6705,116
808,0.6705,116
809,0.6705,116
810,0.6705,116
811,0.6705,116
812,0.6705,116
813,0.6705,116
814,0.6705,116
815,0.6705,116
816,0.0,102
817,0.0,84
818,0.0,52
819,0.0,97
820,0.6705,116
821,0.6705,116
822,0.6705,116
823,0.6705,116
824,0.0,100
825,0.0,97
826,0.0,94
827,0.0,96
828,0.6705,116
829,0.0,78
830,0.6705,116
831,0.6705,116
832,0.0,117
833,0.6705,116
834,0.6705,116
835,0.0,97
836,0.0,82
837,0.0,105
838,0.6705,116
839,0.6705,116
840,0.6705,116
841,0.6705,116
842,0.6705,116
843,0.6705,116
844,0.6705,116
845,0.0,91
846,0.6705,116
847,0.6705,116
848,0.6705,116
849,0.6705,116
850,0.6705,116
851,0.6705,116
852,0.6705,116
853,-0.2732,85
854,0.6705,116
855,0.0,78
856,0.6705,116
857,0.6705,116
858,0.6705,116
859,0.6705,116
860,0.6705,116
861,0.0,111
862,0.0,108
863,0.6705,116
864,0.6705,116
865,0.6705,116
866,0.6705,116
867,0.6705,116
868,0.6705,116
869,0.6705,116
870,0.0,102
871,0.0,82
872,0.0,100
873,0.6705,116
874,0.6705,116
875,0.6705,116
876,0.6705,116
877,0.6705,116
878,0.6705,116
879,0.6705,116
880,0.6705,116
881,0.6705,116
882,0.6705,116
883,0.6705,116
884,0.6705,116
885,0.6705,116
886,0.0,109
887,0.6705,116
888,0.6705,116
889,0.6705,116
890,0.6705,116
891,0.6705,116
892,0.6705,116
893,0.6705,116
894,0.6705,116
895,0.6705,116
896,0.0,109
897,0.6705,116
898,0.0,94
899,0.0,98
900,0.0,82
901,-0.2263,111
902,0.0,77
903,0.0,97
904,0.6705,116
905,0.6705,116
906,0.6705,116
907,0.0,74
908,0.6705,116
909,0.6705,116
910,0.6705,116
911,0.6705,116
912,0.0,109
913,0.0,91
914,0.6705,116
915,0.0,109
916,0.6705,116
917,0.6705,116
918,0.6705,116
919,0.6705,116
920,0.6705,116
921,0.6705,116
922,0.6705,116
923,0.6705,116
924,0.0,78
925,0.6705,116
926,0.0,77
927,0.6705,116
928,0.6705,116
929,0.34,83
930,0.6705,116
931,0.6705,116
932,0.6705,116
933,0.6705,116
934,0.6705,116
935,0.6705,116
936,0.6705,116
937,0.6705,116
938,0.6705,116
939,0.6705,116
940,0.6705,116
941,0.0,100
942,0.0,82
943,0.0,85
944,0.6705,116
945,0.0,95
946,0.6705,116
947,0.6705,116
948,0.6705,116
949,0.6705,116
950,0.6705,116
951,0.6705,116
952,0.128,95
953,0.6705,116
954,0.6705,116
955,0.6705,116
956,0.6705,116
957,0.6705,116
958,0.6705,116
959,0.6705,116
960,0.6705,116
961,0.0,82
962,0.0,100
963,0.6705,116
964,0.6705,116
965,0.6705,116
966,0.6705,116
967,0.6705,116
968,0.6705,116
969,0.6705,116
970,0.6705,116
971,0.6705,116
972,0.6705,116
973,0.6705,116
974,0.0,95
975,0.0,78
976,0.6705,116
977,0.6705,116
978,0.6705,116
979,0.0,102
980,0.0,95
981,0.0,82
982,0.0,97
983,0.0,85
984,0.6705,116
985,0.6705,116
986,0.6705,116
987,0.6705,116
988,0.6705,116
989,0.6705,116
990,0.6705,116
991,0.6705,116
992,0.6705,116
993,0.6705,116
994,0.6705,116
995,0.6705,116
996,0.6705,116
997,0.6705,116
998,0.0,102
999,0.0,82
1000,0.0,97
1001,0.6705,116
1002,0.6705,116
1003,0.0,98
1004,0.0,97
1005,0.0,102
1006,0.0,95
1007,0.0,97
1008,0.0,82
1009,0.6705,116
1010,0.6705,116
1011,0.6705,116
1012,0.6705,116
1013,0.6705,116
1014,0.0,102
1015,0.0,95
1016,0.0,82
1017,0.0,52
1018,0.0,97
1019,0.6705,116
1020,0.6705,116
1021,0.6705,116
1022,0.6705,116
1023,0.0,113
1024,0.0,77
1025,0.6705,116
1026,0.0,118
1027,0.0,97
1028,0.0,68
1029,0.0,82
1030,0.0,84
1031,0.6705,116
1032,0.6705,116
1033,0.6705,116
1034,0.6705,116
1035,0.0,97
1036,0.0,117
1037,0.0,117
1038,0.6705,116
1039,0.128,114
1040,0.0,96
1041,0.0,102
1042,0.0,95
1043,0.0,82
1044,0.0,97
1045,0.0,65
1046,0.0,65
1047,0.2023,87
1048,0.2023,87
1049,0.6705,116
1050,0.6705,116
1051,0.0,78
1052,0.6705,116
1053,0.6705,116
1054,0.0,117
1055,0.0,91
1056,0.6705,116
1057,0.6705,116
1058,0.2023,87
1059,0.6705,116
1060,0.2023,87
1061,0.0,117
1062,0.6705,116
1063,0.0,54
1064,0.0,82
1065,0.0,100
1066,0.0,64
1067,0.6705,116
1068,0.6705,116
1069,0.6705,116
1070,0.0,82
1071,0.6705,116
1072,0.6705,116
1073,0.6705,116
1074,0.6705,116
1075,0.0,98
1076,0.0,96
1077,0.0,97
1078,0.0,98
1079,0.0,100
1080,0.0,66
1081,0.6705,116
1082,0.0,109
1083,0.6705,116
1084,0.0,117
1085,-0.5719,91
1086,0.6705,116
1087,0.6705,116
1088,0.6705,116
1089,0.6705,116
1090,0.6705,116
1091,0.6705,116
1092,0.6705,116
1093,0.6705,116
1094,0.6705,116
1095,0.6705,116
1096,0.6705,116
1097,0.6705,116
1098,0.0,97
1099,0.0,66
1100,0.0,85
1101,0.0,117
1102,0.0,112
1103,0.6705,116
1104,0.6705,116
1105,0.0,117
1106,0.6705,116
1107,0.0,117
1108,0.6705,116
1109,0.6705,116
1110,0.6705,116
1111,0.6705,116
1112,0.6705,116
1113,0.0,120
1114,0.6705,116
1115,0.6705,116
1116,0.6705,116
1117,0.0,95
1118,0.6705,116
1119,0.0,82
1120,0.0,97
1121,-0.2263,111
1122,0.0,77
1123,0.6705,116
1124,0.6705,116
1125,0.6705,116
1126,0.6705,116
1127,0.6705,116
1128,0.6705,116
1129,0.6705,116
1130,0.0,120
1131,0.0,96
1132,0.6705,116
1133,0.6705,116
1134,0.6705,116
1135,-0.0516,102
1136,0.6705,116
1137,0.0,91
1138,0.6705,116
1139,0.0,117
1140,0.6705,116
1141,0.6705,116
1142,0.6705,116
1143,0.6705,116
1144,0.0,109
1145,0.0,109
1146,0.6705,116
1147,0.6705,116
1148,0.6705,116
1149,0.6705,116
1150,0.6705,116
1151,0.0,102
1152,0.0,97
1153,0.0,68
1154,0.6705,116
1155,0.6705,116
1156,0.6705,116
1157,0.6705,116
1158,0.6705,116
1159,0.6705,116
1160,0.6705,116
1161,0.6705,116
1162,0.6705,116
1163,0.6705,116
1164,0.6705,116
1165,0.6705,116
1166,0.6705,116
1167,0.6705,116
1168,0.6705,116
1169,0.6705,116
1170,0.6705,116
1171,0.6705,116
1172,0.6705,116
1173,0.6705,116
1174,0.6705,116
1175,0.6705,116
1176,0.1139,90
1177,0.6705,116
1178,0.6705,116
1179,0.296,79
1180,0.0,102
1181,0.0,100
1182,0.6705,116
1183,0.0,117
1184,0.6705,116
1185,0.0,117
1186,0.6705,116
1187,0.0,117
1188,0.6705,116
1189,0.6705,116
1190,0.6705,116
1191,0.6705,116
1192,0.6705,116
1193,0.6705,116
1194,0.6705,116
1195,0.6705,116
1196,0.6705,116
1197,0.6705,116
1198,0.6705,116
1199,0.6705,116
1200,0.6705,116
1201,0.6705,116
1202,0.6705,116
1203,0.6705,116
1204,0.6705,116
1205,0.6705,116
1206,0.6705,116
1207,0.6705,116
1208,0.6705,116
1209,0.6705,116
1210,0.0,112
1211,0.6705,116
1212,0.0,91
1213,0.6705,116
1214,0.6705,116
1215,0.6705,116
1216,0.6705,116
1217,0.6705,116
1218,0.6705,116
1219,0.6705,116
1220,0.6705,116
1221,0.6705,116
1222,0.6705,116
1223,0.6705,116
1224,0.6705,116
1225,0.6705,116
1226,0.0,99
1227,0.0,97
1228,0.0,102
1229,0.6705,116
1230,0.0,100
1231,0.0,67
1232,0.6705,116
1233,0.6705,116
1234,0.0,81
1235,0.6705,116
1236,0.6705,116
1237,0.6705,116
1238,0.6705,116
1239,0.6705,116
1240,0.6705,116
1241,0.6705,116
1242,0.6705,116
1243,0.6705,116
1244,0.6705,116
1245,0.6705,116
1246,0.6705,116
1247,0.6705,116
1248,0.6705,116
1249,0.6705,116
1250,0.6705,116
1251,0.6705,116
1252,0.6705,116
1253,0.6705,116
1254,0.6705,116
1255,0.6705,116
1256,0.6705,116
1257,0.6705,116
1258,0.6705,116
1259,0.6705,116
1260,0.6705,116
1261,0.6705,116
1262,0.0,82
1263,0.6705,116
1264,0.6705,116
1265,0.6705,116
1266,-0.4767,100
1267,0.0,102
1268,0.0,100
1269,0.0,67
1270,0.6705,116
1271,0.6705,116
1272,0.0,104
1273,0.6705,116
1274,0.6705,116
1275,0.6705,116
1276,0.6705,116
1277,0.6705,116
1278,0.6705,116
1279,0.6705,116
1280,0.6705,116
1281,0.6705,116
1282,0.6705,116
1283,0.6705,116
1284,0.6705,116
1285,0.6705,116
1286,0.6705,116
1287,0.6705,116
1288,0.6705,116
1289,0.6705,116
1290,0.6705,116
1291,0.6705,116
1292,0.6705,116
1293,0.6705,116
1294,0.6705,116
1295,0.6705,116
1296,0.6705,116
1297,0.6705,116
1298,0.6705,116
1299,0.6705,116
1300,0.0,100
1301,0.0,95
1302,0.0,95
1303,0.0,100
1304,0.0,95
1305,0.0258,112
1306,0.0,100
1307,0.0,95
1308,0.0,104
1309,0.0,102
1310,0.0,95
1311,0.0,67
1312,0.0,85
1313,0.0,97
1314,0.3182,72
1315,0.0,100
1316,0.7579,111
1317,0.0,102
1318,0.0,100
1319,-0.2732,103
1320,0.0,27
1321,0.0,99
1322,0.0,102
1323,0.0,97
1324,0.0,95
1325,0.0,52
1326,-0.2732,86
1327,0.0,69
1328,0.6705,116
1329,0.0,82
1330,0.0,107
1331,0.0,93
1332,0.0,102
1333,0.0,97
1334,0.0,52
1335,0.0,67
1336,0.0,91
1337,0.0,97
1338,0.0,102
1339,0.0,69
1340,0.0,100
1341,0.0,85
1342,0.0,59
1343,0.0,81
1344,0.0,97
1345,0.0,94
1346,0.0,94
1347,0.0,97
1348,0.0,78
1349,-0.2732,85
1350,0.0,87
1351,0.0,77
1352,0.6124,113
1353,0.6124,113
1354,0.6124,113
1355,0.6124,113
1356,0.6124,109
1357,0.0,53
1358,0.0,51
1359,0.0,102
1360,0.0,95
1361,0.0,97
1362,0.6705,116
1363,0.0,90
1364,0.0,76
1365,0.3182,86
1366,0.3182,86
1367,0.6705,116
1368,0.0,102
1369,0.0,97
1370,0.0,85
1371,0.6705,116
1372,0.0,89
1373,0.4019,91
1374,0.0,102
1375,0.0,100
1376,-0.2263,111
1377,0.0,77
1378,0.0,74
1379,0.7579,111
1380,0.7579,111
1381,0.7579,111
1382,0.0,78
1383,0.0,77
1384,0.34,83
1385,0.0,109
1386,0.0,102
1387,0.0,95
1388,0.0,100
1389,0.0,97
1390,0.0,102
1391,0.0,97
1392,0.0,68
1393,0.0,109
1394,0.0,109
1395,0.0,102
1396,0.0,100
1397,0.0,104
1398,0.5267,97
1399,0.0,108
1400,0.0,108
1401,0.5267,97
1402,0.0,54
1403,0.0,102
1404,0.0,100
1405,0.0,85
1406,0.0,104
1407,0.8316,92
1408,0.0,97
1409,0.0,97
1410,0.8316,92
1411,0.1139,90
1412,0.0,83
1413,0.0,102
1414,0.0,100
1415,0.0,104
1416,0.0,99
1417,0.0,102
1418,0.0,98
1419,0.0,104
1420,0.0,100
1421,0.34,82
1422,0.0,99
1423,0.0,102
1424,0.0,52
1425,0.0,97
1426,0.0,93
1427,0.0,94
1428,0.0,97
1429,0.0,105
1430,0.0,102
1431,0.0,100
1432,0.0,85
1433,0.2023,87
1434,0.2023,87
1435,0.6705,116
1436,0.6705,116
1437,0.2023,87
1438,0.2023,87
1439,0.0,102
1440,0.0,97
1441,0.3597,115
1442,0.0,102
1443,0.0,97
1444,0.0,105
1445,0.0,85
1446,-0.2732,85
1447,0.0,78
1448,0.1139,90
1449,0.0,102
1450,-0.2732,86
