Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,18.200001,18.209999,18.040001,18.129999,16.595615,77500
2017-11-28,18.129999,18.209999,18.030001,18.209999,16.668848,100100
2017-11-29,18.230000,18.230000,17.969999,17.990000,16.467464,117600
2017-11-30,18.030001,18.080000,17.910000,17.959999,16.440001,170500
2017-12-01,18.049999,18.090000,17.969999,18.059999,16.531538,109900
2017-12-04,18.100000,18.200001,18.090000,18.200001,16.659693,154800
2017-12-05,18.139999,18.209999,18.139999,18.209999,16.668848,78300
2017-12-06,18.209999,18.260000,18.139999,18.219999,16.677998,101500
2017-12-07,18.160000,18.219999,18.059999,18.219999,16.677998,120000
2017-12-08,18.200001,18.200001,18.030001,18.139999,16.604769,175000
2017-12-11,18.000000,18.100000,17.980000,18.090000,16.666498,112000
2017-12-12,18.080000,18.080000,17.990000,18.000000,16.583578,101700
2017-12-13,17.980000,18.030001,17.930000,18.020000,16.602003,134200
2017-12-14,18.040001,18.070000,17.959999,18.030001,16.611219,161500
2017-12-15,18.010000,18.090000,18.010000,18.040001,16.620430,91100
2017-12-18,18.100000,18.190001,18.090000,18.190001,16.758631,94700
2017-12-19,18.190001,18.190001,18.080000,18.100000,16.675711,105000
2017-12-20,18.100000,18.170000,18.070000,18.110001,16.684927,160800
2017-12-21,18.129999,18.150000,18.040001,18.139999,16.712561,121900
2017-12-22,18.160000,18.290001,18.160000,18.280001,16.841547,121200
2017-12-26,18.320000,18.340000,18.200001,18.230000,16.795483,72000
2017-12-27,18.230000,18.280001,18.170000,18.280001,16.841547,103100
2017-12-28,18.150000,18.190001,18.090000,18.190001,16.989117,120500
2017-12-29,18.180000,18.180000,18.100000,18.150000,16.951756,145700
2018-01-02,18.200001,18.200001,18.030001,18.030001,16.839678,176600
2018-01-03,18.150000,18.170000,18.070000,18.080000,16.886375,173800
2018-01-04,18.129999,18.260000,18.100000,18.190001,16.989117,120000
2018-01-05,18.260000,18.280001,18.219999,18.270000,17.063831,85600
2018-01-08,18.219999,18.330000,18.209999,18.270000,17.063831,106500
2018-01-09,18.360001,18.370001,18.219999,18.290001,17.082516,138600
2018-01-10,18.270000,18.280001,18.139999,18.260000,17.054491,138100
2018-01-11,18.209999,18.309999,18.150000,18.150000,16.951756,126200
2018-01-12,18.200001,18.280001,18.180000,18.260000,17.054491,80600
2018-01-16,18.330000,18.330000,18.250000,18.290001,17.082516,107800
2018-01-17,18.299999,18.350000,17.889999,18.059999,16.867697,279300
2018-01-18,18.059999,18.190001,18.000000,18.129999,16.933075,192900
2018-01-19,18.129999,18.190001,18.090000,18.160000,16.961092,245500
2018-01-22,18.180000,18.219999,18.080000,18.120001,16.923735,90800
2018-01-23,18.129999,18.180000,18.120001,18.160000,16.961092,61100
2018-01-24,18.190001,18.240000,18.180000,18.200001,16.998455,105800
2018-01-25,18.240000,18.260000,18.049999,18.070000,16.877037,139700
2018-01-26,18.110001,18.170000,18.049999,18.090000,16.895718,102700
2018-01-29,18.070000,18.090000,17.950001,17.959999,16.774296,119700
2018-01-30,17.920000,17.959999,17.799999,17.879999,16.699579,216100
2018-01-31,18.020000,18.030001,17.750000,17.750000,16.578165,200400
2018-02-01,17.760000,17.850000,17.740000,17.770000,16.596844,138000
2018-02-02,17.700001,17.719999,17.639999,17.719999,16.550142,200100
2018-02-05,17.690001,17.709999,17.280001,17.400000,16.251272,282400
2018-02-06,17.330000,17.639999,17.330000,17.610001,16.447405,225500
2018-02-07,17.549999,17.730000,17.549999,17.610001,16.447405,154800
2018-02-08,17.670000,17.690001,17.510000,17.530001,16.372686,137800
2018-02-09,17.530001,17.570000,17.170000,17.430000,16.279287,233900
2018-02-12,17.510000,17.530001,17.410000,17.510000,16.354006,110700
2018-02-13,17.510000,17.570000,17.459999,17.549999,16.391367,88600
2018-02-14,17.379999,17.400000,17.320000,17.379999,16.341534,109300
2018-02-15,17.410000,17.430000,17.330000,17.420000,16.379145,118100
2018-02-16,17.430000,17.430000,17.350000,17.420000,16.379145,113200
2018-02-20,17.410000,17.410000,17.340000,17.370001,16.332130,108900
2018-02-21,17.370001,17.450001,17.370001,17.410000,16.369741,82200
2018-02-22,17.410000,17.430000,17.379999,17.379999,16.341534,100700
2018-02-23,17.400000,17.480000,17.400000,17.440001,16.397951,32400
2018-02-26,17.480000,17.500000,17.400000,17.400000,16.360340,84100
2018-02-27,17.420000,17.430000,17.340000,17.379999,16.341534,102200
2018-02-28,17.379999,17.459999,17.320000,17.330000,16.294516,157000
2018-03-01,17.360001,17.450001,17.299999,17.299999,16.266314,117600
2018-03-02,17.280001,17.400000,17.270000,17.280001,16.247511,141900
2018-03-05,17.280001,17.360001,17.260000,17.280001,16.247511,87600
2018-03-06,17.309999,17.340000,17.290001,17.330000,16.294516,71900
2018-03-07,17.330000,17.370001,17.320000,17.370001,16.332130,86400
2018-03-08,17.379999,17.440001,17.360001,17.379999,16.341534,67100
2018-03-09,17.430000,17.469999,17.389999,17.450001,16.407351,49200
2018-03-12,17.480000,17.549999,17.459999,17.500000,16.454365,54600
2018-03-13,17.520000,17.570000,17.450001,17.459999,16.416756,103300
2018-03-14,17.400000,17.400000,17.320000,17.340000,16.413914,57500
2018-03-15,17.360001,17.360001,17.240000,17.290001,16.366585,73200
2018-03-16,17.250000,17.250000,16.910000,16.940001,16.035276,394300
2018-03-19,16.930000,16.930000,16.719999,16.809999,15.912218,285100
2018-03-20,16.799999,16.840000,16.610001,16.770000,15.874356,221400
2018-03-21,16.740000,16.760000,16.680000,16.740000,15.845960,154300
2018-03-22,16.719999,16.790001,16.670000,16.709999,15.817559,123500
2018-03-23,16.740000,16.760000,16.650000,16.700001,15.808096,97200
2018-03-26,16.799999,16.799999,16.559999,16.709999,15.817559,143900
2018-03-27,16.740000,16.760000,16.670000,16.730000,15.836493,148200
2018-03-28,16.730000,16.760000,16.709999,16.740000,15.845960,91400
2018-03-29,16.780001,16.830000,16.740000,16.790001,15.893288,163100
2018-04-02,16.780001,16.850000,16.750000,16.799999,15.902754,140600
2018-04-03,16.799999,16.860001,16.770000,16.830000,15.931150,79400
2018-04-04,16.799999,16.920000,16.780001,16.879999,15.978479,61200
2018-04-05,16.900000,16.959999,16.830000,16.879999,15.978479,112900
2018-04-06,16.870001,16.889999,16.690001,16.760000,15.864889,131000
2018-04-09,16.809999,16.950001,16.770000,16.950001,16.044746,88500
2018-04-10,16.959999,16.990000,16.910000,16.950001,16.044746,83500
2018-04-11,16.959999,17.040001,16.930000,17.030001,16.120470,99800
2018-04-12,17.049999,17.080000,16.990000,17.040001,16.129938,110000
2018-04-13,16.940001,16.940001,16.760000,16.780001,15.993636,144400
2018-04-16,16.850000,16.959999,16.830000,16.959999,16.165203,95200
2018-04-17,16.990000,16.990000,16.910000,16.959999,16.165203,123400
2018-04-18,16.950001,16.959999,16.850000,16.870001,16.079416,107900
2018-04-19,16.870001,16.879999,16.780001,16.850000,16.060358,129900
2018-04-20,16.870001,16.889999,16.719999,16.760000,15.974576,121300
2018-04-23,16.780001,16.860001,16.760000,16.860001,16.069889,164700
2018-04-24,16.850000,16.900000,16.830000,16.870001,16.079416,136700
2018-04-25,16.840000,16.860001,16.780001,16.790001,16.003168,70500
2018-04-26,16.830000,16.910000,16.809999,16.830000,16.041294,112900
2018-04-27,16.850000,16.910000,16.830000,16.910000,16.117546,94900
2018-04-30,16.959999,17.020000,16.930000,16.950001,16.155674,124400
2018-05-01,16.980000,16.980000,16.920000,16.950001,16.155674,83800
2018-05-02,16.969999,17.000000,16.950001,16.990000,16.193796,75000
2018-05-03,16.980000,17.000000,16.860001,16.980000,16.184265,93900
2018-05-04,16.959999,16.990000,16.900000,16.930000,16.136608,98500
2018-05-07,16.969999,16.969999,16.900000,16.910000,16.117546,118900
2018-05-08,16.950001,16.980000,16.930000,16.980000,16.184265,132200
2018-05-09,16.969999,17.000000,16.920000,16.969999,16.174732,118200
2018-05-10,17.000000,17.030001,16.969999,17.000000,16.203329,79700
2018-05-11,17.000000,17.040001,16.990000,17.040001,16.241455,86500
2018-05-14,16.969999,16.969999,16.850000,16.910000,16.228977,82100
2018-05-15,16.900000,16.969999,16.870001,16.940001,16.257771,106700
2018-05-16,16.969999,17.049999,16.930000,17.049999,16.363337,301300
